Comment,Description,Designator,Footprint,LibRef,Manufacturer,Manufacturer Part Number,Quantity,Supplier 1,Supplier Part Number 1
"LT1634ACS8-2.5","IC VREF SHUNT 2.5V 8SOIC","U16","MC_S6/SM/LT1634_SOIC8","LT1634_2.5V","Linear Technology","LT1634ACS8-2.5#PBF","1","Digi-Key","LT1634ACS8-2.5#PBF-ND"
"SN74LVC1G34","IC BUFFER NON-INVERT SOT5","U17","MC_S6/SM/SOT_553_DRL5","SN74LVC1G34DRLR","Texas Instruments","SN74LVC1G34DRLR","1","Digi-Key","296-18017-1-ND"
"TMP36GRTZ","SENSOR TEMP ANLG VOLT SOT-23-5","U18, U19","MC_S6/SM/SOT23_RJ5","TMP36GRTZ","Analog Devices","TMP36GRTZ-REEL7","2","Digi-Key","TMP36GRTZ-REEL7CT-ND"
"74AUP1G04GW","IC INVERTER LP 5TSSOP","U40","SOT353-1","74AUP1G04GW","Nexperia USA Inc.","74AUP1G04GW,125","1","Digi-Key","1727-3176-1-ND"
"DS90LV047ATMTCX/NOPB","IC LINE DVR 3V QUAD DIFF 16TSSOP","U80","MC_S6/SM/TSSOP16","DS90LV047ATMTCX","TI National Semiconductor","DS90LV047ATMTCX/NOPB","1","Digi-Key","DS90LV047ATMTCX/NOPBDKR-ND"
"74LVC2T45DC,125","IC TRNSLTR BIDIRECTIONAL 8VSSOP","U101","VSSOP8 SOT765-1","74LVC2T45DC,125","Nexperia USA Inc.","74LVC2T45DC,125","1","Digi-Key","1727-4578-6-ND"
"SG3225VAN 80.000000M-KEGA3","OSC 80.0000MHZ LVDS SMD","X1","MC_S6/SM/XTAL-LVDS-3.2-2.5","SG3225VAN 80.000000M-KEGA3","EPSON","SG3225VAN 80.000000M-KEGA3","1","Digi-Key","SER3935CT-ND"
"ASV-33.000MHZ-EJ-T","XTAL, 33MHz, CMOS","X2","MC_S6/SM/XTAL-7x5.08","ASV-33.000MHZ-EJ-T","Abracon LLC","ASV-33.000MHZ-EJ-T","1","Digi-Key","535-9324-6-ND"
"CFPS-73 80.0 MHz","XTAL, 80MHz, CMOS","X3","MC_S6/SM/XTAL-7x5.08","LFSPXO009441","IQD","LFSPXO009441REEL","1","Digi-Key","1923-1130-6-ND"
"Samtec_XP1","","XP1","MC_S6/TH/SAMTEC_MOLC_40x4","Samtec_XP1","SAMTEC","MOLC-140-01-L-Q-LC","1","Farnell","2732055"
"Samtec_XP2","","XP2","MC_S6/TH/SAMTEC_MOLC_40x4","Samtec_XP2","SAMTEC","MOLC-140-01-L-Q-LC","1","Farnell","2732055"
"Samtec_XP3","","XP3","MC_S6/TH/SAMTEC_MOLC_40x4","Samtec_XP3","SAMTEC","MOLC-140-01-L-Q-LC","1","Farnell","2732055"
"Samtec_XP4","","XP4","MC_S6/TH/SAMTEC_MOLC_40x4","Samtec_XP4","SAMTEC","MOLC-140-01-L-Q-LC","1","Farnell","2732055"
